name,.pred,TempDist_Recent_GrwSsn_2023,TempDist_Recent_GrwSsn_2023_scaled,Geographic_Dist,Geographic_Dist_scaled,PPTDist_Recent_GrwSsn_2023,PPTDist_Recent_GrwSsn_2023_scaled
GS_Recent,0.46573526492777256,0.7333333333333334,0.11175167395948683,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.47345048032309306,0.8888888888888888,0.186252789932478,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.48117839512015403,1.0444444444444443,0.2607539059054692,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.4889153254934353,1.2000000000000002,0.33525502187846057,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.4966575703619621,1.355555555555556,0.409756137851452,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.5044014184588861,1.511111111111111,0.484257253824443,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.5121431554425184,1.666666666666667,0.5587583697974344,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.5198790710198868,1.822222222222222,0.6332594857704253,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.5276054660538031,1.9777777777777779,0.7077606017434168,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.5353186596245404,2.1333333333333337,0.7822617177164082,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.5430149960175378,2.2888888888888888,0.8567628336893991,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.550690851609065,2.4444444444444446,0.9312639496623906,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.5583426416224846,2.5999999999999996,1.0057650656353816,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
